Source,Target,Weight,Type
79B Aickman Road,Amy Pond,1,directed
79B Aickman Road,Craig Owens,1,directed
79B Aickman Road,Eleventh Doctor,1,directed
79B Aickman Road,Sophie (The Lodger),1,directed
A. H. Millington,Ace,1,directed
A. H. Millington,Fenric,1,directed
A. H. Millington,Haemovore,1,directed
A. H. Millington,Ingiger,1,directed
A. H. Millington,Seventh Doctor,1,directed
Abigail Pettigrew,Amy Pond,1,directed
Abigail Pettigrew,Eleventh Doctor,1,directed
Abigail Pettigrew,Elliot Sardick,1,directed
Abigail Pettigrew,Kazran Sardick,1,directed
Abigail Pettigrew,Rory Williams,1,directed
Abzorbaloff,Jackie Tyler,1,directed
Abzorbaloff,Rose Tyler,1,directed
Abzorbaloff,Tenth Doctor,1,directed
Ace,A. H. Millington,1,directed
Ace,Allison Williams,1,directed
Ace,Ancelyn,1,directed
Ace,Black Dalek Leader,1,directed
Ace,Cheetah Person,1,directed
Ace,Chief clown,1,directed
Ace,Cyber-Leader (Silver Nemesis),1,directed
Ace,Davros,1,directed
Ace,De Flores,1,directed
Ace,Fenric,1,directed
Ace,Fifth Doctor,1,directed
Ace,Fourth Doctor,1,directed
Ace,Gods of Ragnarok,1,directed
Ace,Haemovore,1,directed
Ace,Helen A,1,directed
Ace,Ian Gilmore,1,directed
Ace,Ingiger,1,directed
Ace,Josiah Samuel Smith,1,directed
Ace,K9 (Storm in a Tikka) (page does not exist),1,directed
Ace,Kandyman,1,directed
Ace,Kane (Dragonfire),1,directed
Ace,Kitling,1,directed
Ace,Leela,1,directed
Ace,Light (Ghost Light),1,directed
Ace,Liz Shaw,1,directed
Ace,Mags (The Greatest Show in the Galaxy),1,directed
Ace,Melanie Bush,2,directed
Ace,Midge (Survival),1,directed
Ace,Mike Yates,1,directed
Ace,Morgaine,1,directed
Ace,Nyssa,1,directed
Ace,Peinforte,1,directed
Ace,Peri Brown,1,directed
Ace,Rachel Jensen,1,directed
Ace,Romana II,1,directed
Ace,Sabalom Glitz,1,directed
Ace,Sarah Jane Smith,1,directed
Ace,Seventh Doctor,10,directed
Ace,Sixth Doctor,1,directed
Ace,Susan Foreman,1,directed
Ace,The Brigadier,2,directed
Ace,The Destroyer,1,directed
Ace,The Master,1,directed
Ace,The Rani,1,directed
Ace,Third Doctor,1,directed
Ace,Victoria Waterfield,1,directed
Ace,Winifred Bambera,1,directed
Ace (Death Comes to Time),Antimony (Death Comes to Time),1,directed
Ace (Death Comes to Time),Minister of Chance,1,directed
Ace (Death Comes to Time),Seventh Doctor (Death Comes to Time),1,directed
Ace (Death Comes to Time),Tannis (Death Comes to Time),1,directed
Ace (Death Comes to Time),The Brigadier (Death Comes to Time),1,directed
Ada Lovelace,Daniel Barton,1,directed
Ada Lovelace,Graham O'Brien,1,directed
Ada Lovelace,Hakim Khan,1,directed
Ada Lovelace,Kasaavin,1,directed
Ada Lovelace,Najia Khan,1,directed
Ada Lovelace,Noor Inayat Khan,1,directed
Ada Lovelace,Ryan Sinclair,1,directed
Ada Lovelace,Sonya Khan,1,directed
Ada Lovelace,The Master,1,directed
Ada Lovelace,Thirteenth Doctor,1,directed
Ada Lovelace,Tibo,1,directed
Ada Lovelace,Yasmin Khan,1,directed
Adam Mitchell,Metaltron,1,directed
Adam Mitchell,Mighty Jagrafess of the Holy Hadrojassic Maxarodenfoe,1,directed
Adam Mitchell,Ninth Doctor,2,directed
Adam Mitchell,Rose Tyler,2,directed
Adam Mitchell,The Editor,1,directed
Adelaide Brooke,Ood Sigma,1,directed
Adelaide Brooke,Tenth Doctor,1,directed
Adelaide Brooke,The Flood (The Waters of Mars),1,directed
Adolf Hitler,Amy Pond,1,directed
Adolf Hitler,Arthur Candy,1,directed
Adolf Hitler,Captain,1,directed
Adolf Hitler,Carter (Let's Kill Hitler),1,directed
Adolf Hitler,Eleventh Doctor,1,directed
Adolf Hitler,River Song,1,directed
Adolf Hitler,Rory Williams,1,directed
Adrasta,Fourth Doctor,1,directed
Adrasta,K9 Mark II,1,directed
Adrasta,Romana II,1,directed
Adric,Ann Talbot,1,directed
Adric,Cyber-Leader (Earthshock),1,directed
Adric,Dukkha,1,directed
Adric,Fifth Doctor,9,directed
Adric,Fourth Doctor,5,directed
Adric,Hindle,1,directed
Adric,K9 Mark II,3,directed
Adric,Kamelion,1,directed
Adric,King Vampire,1,directed
Adric,Madge Cranleigh,1,directed
Adric,Mara,1,directed
Adric,Marshman,1,directed
Adric,Morgus,1,directed
Adric,Nyssa,10,directed
Adric,Peri Brown,1,directed
Adric,Richard Mace,1,directed
Adric,Romana II,3,directed
Adric,Rorvik,1,directed
Adric,Sharaz Jek,1,directed
Adric,Sixth Doctor,1,directed
